stop_name,parent_station,zone_id,stop_id,stop_desc,stop_lat,stop_lon,location_type,platform_code
Nanda Gokula Nagara,nan,NGN12,34082,Nanda Gokula Nagara (Towards Motaganahalli),13.061,77.31797,,nan
Nanda Shree,nan,NDSHE,29283,Nanda Shree (Towards Makanahalli),13.06021,77.78446,,nan
Nanda Shree,nan,NDSHE,34083,Nanda Shree (Towards Hosakote),13.06017,77.78441,,nan
Nanda Talkies,nan,NDT,22341,Nanda Talkies (Towards Yadiyuru),12.93222,77.58022,,nan
Nanda Talkies,nan,NDT,22342,Nanda Talkies (Towards South End Circle),12.93327,77.58007,,nan
Nandagudi,nan,NDG1,29285,Nandagudi (Towards H Cross),13.2022,77.90111,,nan
Nandagudi,nan,NDG1,34084,Nandagudi (Towards Hosakote),13.20237,77.90143,,nan
Nandaramaiahna Palya,nan,NDMP,38922,Nandaramaiahna Palya (Towards Nagaroor),13.08949,77.42519,,nan
Nandaramaiahna Palya,nan,NDMP,38923,Nandaramaiahna Palya (Towards Binnamangala),13.08945,77.42518,,nan
Nandas Hotel,nan,Nandas,38151,Nandas Hotel (Towards Mangammanapalya),12.92173,77.64503,,nan
Nandhini Layout,nan,JBWN2,29289,Nandhini Layout (Towards Goraguntepalya),13.01473,77.53052,,nan
Nandhini Layout,nan,JBWN2,34086,Nandhini Layout (Towards Summanahalli),13.01466,77.5307,,nan
Nandhini Talkies,nan,NDNT,29292,Nandhini Talkies (Towards Rajajinagara 1st Block),13.00386,77.54344,,nan
Nandhini Talkies,nan,NDNT,34087,Nandhini Talkies (Towards Geleyara Balaga),13.00383,77.54339,,nan
Nandi Cross,nan,NDHIC1,37996,Nandi Cross (Towards Chikkaballapura),13.36842,77.72579,,nan
Nandi Cross,nan,NDHIC1,37997,Nandi Cross (Towards Venkatagirikote),13.36848,77.72596,,nan
Nandi Garden Kothanur,nan,NGN1,23362,Nandi Garden Kothanur (Towards Kothanuru Cross),12.86745,77.56561,,nan
Nandi Garden Kothanur,nan,NGN1,23365,Nandi Garden Kothanur (Towards Anjanapura),12.86748,77.56566,,nan
Nandidurga Road,nan,YMCA,34091,Nandidurga Road (Towards Munireddypalya),13.00068,77.59952,,nan
Nandidurga Road,nan,YMCA,34092,Nandidurga Road (Towards Contonment Rialway Station),13.00075,77.59959,,nan
Nandini Cool Joint,nan,HSR2SCR,38147,Nandini Cool Joint (Towards Agara),12.91264,77.64461,,nan
Nandini Cool Joint,nan,HSR2SCR,38148,Nandini Cool Joint (Towards Mangammanapalya),12.91267,77.64466,,nan
Nandini Hotel JP Nagara,nan,NDNH,34195,Nandini Hotel JP Nagara (Towards Royal School),12.90512,77.58581,,nan
Nandini Layout Bus Stand,nan,NLO1,29301,Nandini Layout Bus Stand (Towards Nandini Layout Bus Stand),13.0116,77.53569,,nan
Nandini Layout Police Station,nan,NLO1,29302,Nandini Layout Police Station (Towards Nandini Layout Police Station),13.01235,77.53666,,nan
Nandini Layout Ring Road,nan,NLORR1,27499,Nandini Layout Ring Road (Towards Goraguntepalya),13.0116,77.52853,,nan
Nandini Layout Ring Road,nan,NLORR1,29290,Nandini Layout Ring Road (Towards Summanahalli),13.01159,77.52872,,nan
Nanjappa Circle,nan,NCBS,35117,Nanjappa Circle (Towards Elgin Floor Mill),12.96064,77.60095,,nan
Nanjappa Circle,nan,NCBS,35278,Nanjappa Circle (Towards Akkithimmanahalli),12.96058,77.60095,,nan
Nanjappa Circle,nan,NJPC,22343,Nanjappa Circle (Towards BEL Circle),13.06849,77.55995,,nan
Nanjappa Circle,nan,NJPC,22344,Nanjappa Circle (Towards Vidyaranyapura),13.06837,77.56011,,nan
Nanjappa Circle,nan,NJPC1,23516,Nanjappa Circle (Towards Thindlu),13.06843,77.5603,,nan
Nanjapura,nan,NJPANKL,29305,Nanjapura (Towards Nanjapura Road),12.80974,77.64123,,nan
Nanjapura,nan,NJPANKL,34093,Nanjapura (Towards Nanjapura),12.80971,77.64137,,nan
Nanjapura Cross,nan,NJPRD,29307,Nanjapura Cross (Towards Hulimangala),12.81365,77.64231,,nan
Nanjapura Cross,nan,NJPRD,34094,Nanjapura Cross (Towards Nanjapura),12.8137,77.64233,,nan
Nanjundegowda layout,nan,NJGLT,39486,Nanjundegowda layout (Towards Ganigarahalli),13.08588,77.50509,,nan
Nanjundegowda layout,nan,NJGLT,39487,Nanjundegowda layout (Towards Chikka Banavara),13.08588,77.50515,,nan
Nanjundeshwara Stores,nan,NANJU,22345,Nanjundeshwara Stores (Towards Hosakerehalli Cross),12.93361,77.54205,,nan
Nano Hospital,nan,KRHU,22198,Nano Hospital (Towards Uttarahalli),12.90698,77.54622,,nan
Nano Hospital,nan,KRHU,23736,Nano Hospital (Towards Chikkalasandra Aralimara),12.907,77.54619,,nan
Narasaiahna Agrahara,nan,NAGH2,29309,Narasaiahna Agrahara (Towards Kadanoor),13.25458,77.454,,nan
Narasaiahna Agrahara,nan,NAGH2,34095,Narasaiahna Agrahara (Towards Last Stop),13.25463,77.45391,,nan
Narasapura,nan,NRSAPR,34098,Narasapura (Towards Malenahalli),12.80048,77.80158,,nan
Narasapura,nan,NRSPRA,34096,Narasapura (Towards Handenahalli),12.82802,77.7761,,nan
Narasapura,nan,NRSPRA,34097,Narasapura (Towards Sultanpalya),12.82806,77.7761,,nan
Narasapura (H D Devegowda Circle),nan,NRP,29315,Narasapura (H D Devegowda Circle) (Towards Narasapura),12.9772,77.49366,,nan
Narasapura (H D Devegowda Circle),nan,NRP,34099,Narasapura (H D Devegowda Circle) (Towards D Group Employees Layout),12.97731,77.49353,,nan
Narasapura 1,nan,NRSAPR,34832,Narasapura 1 (Towards Narasapura),12.80052,77.80172,,nan
Narasapura Gate,nan,NRSPG,29317,Narasapura Gate (Towards Bittasandra),13.11244,77.27348,,nan
Narasapura Gate,nan,NRSPG,34100,Narasapura Gate (Towards Kodi Basavanna Temple),13.11237,77.27337,,nan
Narasimha Temple,nan,NRSMTPL,24120,Narasimha Temple (Towards Jigani Layout),12.7762,77.63615,,nan
Narasimha Temple,nan,NRSMTPL,24277,Narasimha Temple (Towards Jigani),12.77624,77.6361,,nan
Narasipura,nan,NRSP1,29319,Narasipura (Towards Mattahalli),13.10984,77.46356,,nan
Narasipura,nan,NRSP1,34101,Narasipura (Towards Govindapura),13.10984,77.46352,,nan
Narayan Rao Palya,nan,NRP8,34102,Narayan Rao Palya (Towards Machanayakanahalli),13.14134,77.38115,,nan
Narayana Nagara Cross,nan,NRC KKC,29325,Narayana Nagara Cross (Towards Konanakunte Cross),12.87939,77.55384,,nan
Narayana Nagara Cross,nan,NRC KKC,34104,Narayana Nagara Cross (Towards Avalahalli BDA Layout),12.87999,77.55341,,nan
Narayanaghatta,nan,NRGT,29327,Narayanaghatta (Towards Narayanaghatta),12.83613,77.72525,,nan
Narayanaghatta,nan,NRGT,34105,Narayanaghatta (Towards Singena Agrahara),12.83608,77.72523,,nan
Narayanaghatta Gate,nan,NRYGT,29329,Narayanaghatta Gate (Towards Singena Agrahara),12.83786,77.72468,,nan
Narayanaghatta Gate,nan,NRYGT,34106,Narayanaghatta Gate (Towards Mutha Nalluru Cross),12.83786,77.72462,,nan
Narayanakere,nan,NYNK.,29331,Narayanakere (Towards Lakkur),12.94391,77.85785,,nan
Narayanakere,nan,NYNK.,34107,Narayanakere (Towards D Hosahalli),12.94398,77.85776,,nan
Narayananagara 3rd Stage,nan,NRN3,34108,Narayananagara 3rd Stage (Towards Last Stop),12.87911,77.55845,,nan
Narayanappanapalya Adakimaranahalli,nan,ADHCR,29335,Narayanappanapalya Adakimaranahalli (Towards Ravuttanahalli),13.06246,77.43659,,nan
Narayanappanapalya Adakimaranahalli,nan,ADHCR,34109,Narayanappanapalya Adakimaranahalli (Towards Tumkur Road),13.06252,77.43656,,nan
Narayanapura,nan,NRNBDI,29341,Narayanapura (Towards Kattalepalya),12.79262,77.46093,,nan
Narayanapura,nan,NRNBDI,34114,Narayanapura (Towards Karenahalli),12.79268,77.461,,nan
Narayanapura,nan,NRP2,34110,Narayanapura (Towards Kuduregere Colony),13.16259,77.60144,,nan
Narayanapura,nan,NRP2,34111,Narayanapura (Towards Bettahalasuru),13.16264,77.6014,,nan
Narayanapura Cross,nan,NRPCRC,39042,Narayanapura Cross (Towards Vanakanahalli),12.69588,77.69552,,nan
Narayanapura Cross,nan,NRPCRC,39043,Narayanapura Cross (Towards Homplaghatta/Anekal),12.69587,77.69551,,nan
Narendra Tent Nagawara,nan,NRT,29344,Narendra Tent Nagawara (Towards Nagavara),13.02682,77.62062,,nan
National College,nan,NC1,22347,National College (Towards Lalbagh West Gate),12.94865,77.57567,,nan
National College,nan,NTC2,37084,National College (Towards Jayanagar 6th Block),12.92467,77.57801,,nan
National College,nan,nc2,22346,National College (Towards Basavanagudi Police Station),12.94942,77.57379,,nan
National College,nan,nc2,22348,National College (Towards Mahila Seva Samaja),12.94926,77.57367,,nan
National Cricket Academy,nan,NCA,39204,National Cricket Academy (Towards Bagalur),13.16523,77.70853,,nan
National Cricket Academy,nan,NCA,39205,National Cricket Academy (Towards Bettakote),13.16511,77.70841,,nan
National Games Village Gate,nan,NGVG1,23934,National Games Village Gate (Towards Depot-15),12.94928,77.62039,,nan
National Games Village Gate,nan,NGVG1,23948,National Games Village Gate (Towards Austin Town),12.94868,77.61997,,nan
National Law College University,nan,NLC13,29345,National Law College University (Towards Nagarabhavi Circle),12.95323,77.51662,,nan
National Public School Kudlu,nan,NPSCK,40013,National Public School Kudlu (Towards Haraluru Cross),12.89009,77.66884,,nan
National Public School Kudlu,nan,NPSCL2K,40012,National Public School Kudlu (Towards Choodasandra Circle),12.89018,77.66885,,nan
National Public School Ullal Lake,nan,NPSU,29346,National Public School Ullal Lake (Towards Marutinagara),12.95588,77.47877,,nan
National Public School Ullala,nan,NPSU,29347,National Public School Ullala (Towards Ullala),12.95594,77.4786,,nan
National Public School Uttarahalli,nan,NPSUTH,38097,National Public School Uttarahalli (Towards Turahalli),12.904,77.5309,,nan
National college,nan,NTC2,37082,National college (Towards Sangam circle),12.92462,77.57804,,nan
Navarang Bar,nan,NVRGB,29349,Navarang Bar (Towards Sujatha Talkies),12.99126,77.55778,,nan
Navarang Bar,nan,NVRGB,34116,Navarang Bar (Towards Navarang Talkies),12.99126,77.55762,,nan
Navarang Theatre,nan,NVRNG4,29351,Navarang Theatre (Towards Malleshwaram Circle),12.99862,77.55298,,nan
Navarang Theatre,nan,NVRNG4,34117,Navarang Theatre (Towards Vivekananda College),12.99843,77.55288,,nan
Navarang Theatre,nan,NVRNG4,35082,Navarang Theatre (Towards ESI Hospital),12.99762,77.55113,,nan
Navarang Theatre,nan,NVRNGT,21049,Navarang Theatre (Towards Modi Hospital),12.99748,77.54884,,nan
Navarang Theatre,nan,NVRNGT,21051,Navarang Theatre (Towards Malleshwaram),12.99791,77.55159,,nan
Navarang Theatre,nan,NVRNGT,35290,Navarang Theatre (Towards Rajajinagara 1st Block),12.99825,77.55096,,nan
Navarathna Agrahara,nan,NVRAG,29353,Navarathna Agrahara (Towards Sadahalli Gate),13.1997,77.63587,,nan
Navarathna Agrahara,nan,NVRAG,34118,Navarathna Agrahara (Towards Bhovipalya),13.19963,77.6358,,nan
Navayuga Toll,nan,NVYGT3,35728,Navayuga Toll (Towards Devanahalli),13.19312,77.64887,,nan
Navayuga Toll,nan,NVYGT3,35729,Navayuga Toll (Towards Hebbala),13.19384,77.65053,,nan
Navayuga Toll  (Military Dairy Farm),nan,MDF,38168,Navayuga Toll  (Military Dairy Farm) (Towards Venkatala),13.04998,77.59277,,nan
Navayuga Toll (KIA),nan,NVYGT,35745,Navayuga Toll (KIA) (Towards Hebbala),13.19332,77.65018,,nan
Navayuga Toll (V-298MN),nan,NVYGT3,38004,Navayuga Toll (V-298MN) (Towards Devanahalli),13.19291,77.6486,,nan
Navayuga Toll (V-298MN),nan,NVYGT3,38005,Navayuga Toll (V-298MN) (Towards Venkatala),13.19411,77.6509,,nan
Navodaya Nagara,nan,NDN1,23455,Navodaya Nagara (Towards Jambu Savari Dinne),12.88137,77.58381,,nan
Navodaya Nagara,nan,NDN1,23471,Navodaya Nagara (Towards JP Nagara 15th Cross),12.88129,77.58376,,nan
Navodaya School Bagalur,nan,NVDB,29355,Navodaya School Bagalur (Towards Beguru),13.14903,77.67494,,nan
Navodaya School Bagalur,nan,NVDB,34119,Navodaya School Bagalur (Towards Bande Kodigehalli),13.14888,77.67468,,nan
Navodaya School Doddaballapura,nan,NVDYS,29357,Navodaya School Doddaballapura (Towards Rajanukunte),13.26922,77.5523,,nan
Navodaya School Doddaballapura,nan,NVDYS,34120,Navodaya School Doddaballapura (Towards Doddaballapura),13.2691,77.55217,,nan
Navya Badavane,nan,NVYBADV,29359,Navya Badavane (Towards Maruthi Nagara),12.78732,77.65385,,nan
Navya Badavane,nan,NVYBADV,34121,Navya Badavane (Towards Jigani APC Circle),12.78723,77.65396,,nan
Nawkalpalya,nan,NKP3,29361,Nawkalpalya (Towards Kaggalipura),12.79431,77.48902,,nan
Nawkalpalya,nan,NKP3,34122,Nawkalpalya (Towards Gudipalya),12.79428,77.48904,,nan
Nayakanapalya,nan,NYKNPL12,34123,Nayakanapalya (Towards Savandurga),12.90386,77.28116,,nan
Nayanahalli,nan,NYNHLL,29365,Nayanahalli (Towards Jn of Nayanahalli Cross),12.75997,77.67258,,nan
Nayanahalli,nan,NYNHLL,34124,Nayanahalli (Towards Lingapura),12.76002,77.67255,,nan
Nayanahalli Cross,nan,JNONYN,30387,Nayanahalli Cross (Towards Kumbarahalli),12.76153,77.65501,,nan
Nayanahalli Cross,nan,JNONYN,35295,Nayanahalli Cross (Towards Haragadde),12.76145,77.65493,,nan
Nayandahalli,nan,MRMS,21052,Nayandahalli (Towards Kengeri),12.94268,77.52589,,nan
Nayandahalli,nan,MRMS,21053,Nayandahalli (Towards BHEL),12.94288,77.52576,,nan
Nayandahalli Junction,nan,MRMS,34321,Nayandahalli Junction (Towards Nagarabhavi Circle),12.94552,77.52755,,nan
Nayandahalli Junction,nan,NDH1,20887,Nayandahalli Junction (Towards Kengeri),12.94509,77.52857,,nan
Nayandahalli Junction,nan,NYNDHLIII,23371,Nayandahalli Junction (Towards Veerabhadranagara),12.94381,77.53029,,nan
Nayandahalli Junction,nan,NYNDHLIII,37961,Nayandahalli Junction (Towards BHEL),12.94581,77.52832,,nan
Nayara Petrol Bunk,nan,NYRPBK1,39979,Nayara Petrol Bunk (Towards Anjanapura 1st Block),12.855,77.55423,,nan
Nayara Petrol Bunk,nan,NYRPBK1,39980,Nayara Petrol Bunk (Towards Vajragiri Estate),12.85507,77.55422,,nan
Nayara Petrol Pump Puttenahalli Lake,nan,LXMLO,31886,Nayara Petrol Pump Puttenahalli Lake (Towards JPN 24th Main Road),12.89127,77.58769,,nan
Neeladri Nagar,nan,NLDRN,23497,Neeladri Nagar (Towards Electronic City),12.84153,77.64799,,nan
Neeladri Nagar SNN Raj Neeladri Apartment,nan,NLN,29371,Neeladri Nagar SNN Raj Neeladri Apartment (Towards Neeladri Nagar),12.843,77.64426,,nan
Neeladri Nagar SNN Raj Neeladri Apartment,nan,NLN,34126,Neeladri Nagar SNN Raj Neeladri Apartment (Towards Thogur Cross),12.84285,77.6442,,nan
Neeladri Nagara,nan,NLDRN,29372,Neeladri Nagara (Towards Thoguru Cross),12.84148,77.64798,,nan
Neelagiri Thopu,nan,NLGRT,21054,Neelagiri Thopu (Towards Sunkadakatte),12.99578,77.50253,,nan
Neelagiri Thopu,nan,NLGRT,21055,Neelagiri Thopu (Towards Hegganahalli),12.99577,77.50249,,nan
Neelasandra BDA Complex,nan,NLSB1,27398,Neelasandra BDA Complex (Towards Neelasandra),12.95723,77.61498,,nan
Neelasandra Bus Stand,nan,NLSB1,22349,Neelasandra Bus Stand (Towards Austin Town),12.95766,77.61429,,nan
Neelasandra Bus Stand,nan,NLSB1,22350,Neelasandra Bus Stand (Towards Rose Garden),12.95746,77.61444,,nan
Neelasandra Rose Garden,nan,RSGN,22351,Neelasandra Rose Garden (Towards Neelasandra),12.95371,77.61752,,nan
Neelasandra Rose Garden,nan,RSGN,22352,Neelasandra Rose Garden (Towards Neelasandra Rose Garden),12.95379,77.61737,,nan
Neeleri,nan,NLR5,37991,Neeleri (Towards Last Stop),13.27327,77.71059,,nan
Neeleri Cross,nan,NLGRT1,27404,Neeleri Cross (Towards Devanahalli),13.2778,77.71253,,nan
Neeleri Cross,nan,NLGRT1,34130,Neeleri Cross (Towards Nandi),13.27775,77.71252,,nan
Neeleri Gate,nan,NERI1,27402,Neeleri Gate (Towards Devanahalli),13.25862,77.70601,,nan
Neeleri Gate,nan,NERI1,34129,Neeleri Gate (Towards Doddaballapura),13.25857,77.70602,,nan
Nekkundi Dommasandra,nan,NKDMDR,24320,Nekkundi Dommasandra (Towards Kammanahalli),12.92787,77.77594,,nan
Nekkundi Dommasandra,nan,NKDMDR,24330,Nekkundi Dommasandra (Towards Varthuru),12.92785,77.77604,,nan
Nelagadarenahalli,nan,NGH3,34131,Nelagadarenahalli (Towards Thigalarapalya),13.03155,77.50364,,nan
Nelagadarenahalli,nan,NLGH,34132,Nelagadarenahalli (Towards 8th Mile),13.03157,77.50358,,nan
Nelaguli,nan,NLGLI,27410,Nelaguli (Towards Sundaram Estate),12.77179,77.48349,,nan
Nelaguli,nan,NLGLI,34134,Nelaguli (Towards Nelaguli Cross),12.77183,77.4835,,nan
Nelagulli Cross,nan,NLC,23549,Nelagulli Cross (Towards Harohalli),12.77412,77.49242,,nan
Nelagulli Cross,nan,NLC,23629,Nelagulli Cross (Towards Banashankari Bus Stand),12.77409,77.49217,,nan
Nelamangala Bus Station,nan,NMG1,22353,Nelamangala Bus Station (Towards Departure),13.09796,77.39438,,nan
Nelamangala Bus Station,nan,NMG1,27411,Nelamangala Bus Station (Towards Arrival),13.09803,77.39387,,nan
Nelamangala Cement Factory,nan,NCF1,27413,Nelamangala Cement Factory (Towards Nelamangala),13.09212,77.37748,,nan
Nelamangala Cement Factory,nan,NCF1,34135,Nelamangala Cement Factory (Towards Yantaganahalli),13.09184,77.37756,,nan
Nelamangala Court,nan,NMGCOURT1,35813,Nelamangala Court (Towards Nelamangala),13.08797,77.39381,,nan
Nelamangala Court,nan,NMGCOURT1,35814,Nelamangala Court (Towards Sondekoppa),13.08799,77.39386,,nan
Nelamangala Hunasemara,nan,NLMHSM1,27418,Nelamangala Hunasemara (Towards Nelamangala),13.10062,77.39073,,nan
Nelamangala Hunasemara,nan,NLMHSM1,34136,Nelamangala Hunasemara (Towards Kunigal Bypass Road),13.09978,77.39083,,nan
Nelamangala Hunasemara,nan,NLMHSM1,34137,Nelamangala Hunasemara (Towards Basavanahalli),13.10054,77.39064,,nan
Nelamangala Hunasemara 1,nan,NLMHSM1,34833,Nelamangala Hunasemara 1 (Towards Nelamangala),13.09991,77.39085,,nan
